order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,seller_zip_code_prefix,seller_city,seller_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,2017-04-11 12:22:08,2017-04-13 13:25:17,,,2017-05-09,36edbb3fb164b1f16485364b6fb04c73,98900,santa rosa,RS,1,Credit Card,1,65.95,1,a1804276d9941ac0733cfd409f5206eb,dc8798cbf453b7e0f98745e396cc5616,2017-04-19 13:25:17,49.9,16.05,5455,sao paulo,SP,,,,,600.0,35.0,35.0,15.0,
0760a852e4e9d89eb77bf631eaaf1c84,d2a79636084590b7465af8ab374a8cf5,invoiced,2018-08-03 17:44:42,2018-08-07 06:15:14,,,2018-08-21,c7f8d7b1fffc946d7069574f74c39f4e,88140,santo amaro da imperatriz,SC,1,Boleto,1,50.35,1,1522589c64efd46731d3522568e5bc83,28405831a29823802aa22c084cfd0649,2018-08-13 06:15:14,35.0,15.35,3644,sao paulo,SP,artigos_de_natal,35.0,415.0,4.0,550.0,37.0,10.0,37.0,christmas_supplies
15bed8e2fec7fdbadb186b57c46c92f2,f3f0e613e0bdb9c7cee75504f0f90679,processing,2017-09-03 14:22:03,2017-09-03 14:30:09,,,2017-10-03,9f269af9c49244f6ba4a46985a3cfc2e,3436,sao paulo,SP,1,Credit Card,2,138.28,1,61d52f4882421048afd530db53d6f230,fa74b2f3287d296e9fbd2cc80f2d1cf1,2017-09-20 14:30:09,125.9,12.38,19023,presidente prudente,SP,perfumaria,59.0,149.0,1.0,500.0,36.0,18.0,27.0,perfumery
d3c8851a6651eeff2f73b0e011ac45d0,957f8e082185574de25992dc659ebbc0,processing,2016-10-05 22:44:13,2016-10-06 15:51:05,,,2016-12-09,07d5b1f9bdd053347f0213187b343ac9,3531,sao paulo,SP,1,Credit Card,1,299.84,1,ca17b18b38db6e0d2c33d362322f2a06,4be2e7f96b4fd749d52dff41f80e39dd,2016-10-21 16:24:45,267.0,32.84,69900,rio branco,AC,livros_tecnicos,32.0,2228.0,1.0,1900.0,30.0,6.0,30.0,books_technical
1b9ecfe83cdc259250e1a8aca174f0ad,6d6b50b66d79f80827b6d96751528d30,canceled,2018-08-04 14:29:27,2018-08-07 04:10:26,,,2018-08-14,8ea097b1824dbd4d17af71b0afe04301,5514,sao paulo,SP,1,Boleto,1,33.34,1,ad673c1cd02b966e931f9db4fdc34791,9646c3513289980f17226a2fc4720dbd,2018-08-14 04:10:26,25.0,8.34,12215,sao jose dos campos,SP,informatica_acessorios,39.0,1321.0,3.0,350.0,22.0,11.0,17.0,computers_accessories
38b7efdf33dd5561f4f5d4f6e07b0414,021e84751ba0ead75b6d314a6ead88d9,invoiced,2017-08-01 18:17:41,2017-08-01 18:32:30,,,2017-08-28,9a58c55c10b4eb6c69fb0874d8beb466,23025,rio de janeiro,RJ,1,Credit Card,1,44.09,1,8988d11aace15e3c9e25763c6d87dcf5,891071be6ba827b591264c90c2ae8a63,2017-08-10 18:32:30,29.99,14.1,3872,sao paulo,SP,fashion_roupa_masculina,23.0,183.0,1.0,200.0,19.0,27.0,27.0,fashion_male_clothing
714fb133a6730ab81fa1d3c1b2007291,e3fe72696c4713d64d3c10afe71e75ed,canceled,2018-01-26 21:34:08,2018-01-26 21:58:39,2018-01-29 22:33:25,,2018-02-22,c4ebedb09beb89cc0314c5c0c33f8053,9961,diadema,SP,1,Credit Card,4,96.01,1,a0b7d5a992ccda646f2d34e418fff5a0,95f83f51203c626648c875dd41874c7f,2018-02-01 21:58:39,69.9,26.11,37564,borda da mata,MG,moveis_decoracao,45.0,67.0,2.0,12300.0,40.0,40.0,40.0,furniture_decor
6a6c7d523fd59eb5bbefc007331af717,d954782ec6c0e911292c8a80757ef28d,processing,2017-11-24 20:09:33,2017-11-24 23:15:15,,,2017-12-20,2adaff8e437d7153f3326cf14187d821,6519,santana de parnaiba,SP,1,Credit Card,1,40.48,1,73a6530caef9511c04711d12dcef551c,4e42581f08e8cfc7c090f930bac4552a,2017-12-05 23:15:15,129.0,47.61,13660,portoferreira,SP,moveis_escritorio,35.0,292.0,1.0,5000.0,60.0,45.0,45.0,office_furniture
6a6c7d523fd59eb5bbefc007331af717,d954782ec6c0e911292c8a80757ef28d,processing,2017-11-24 20:09:33,2017-11-24 23:15:15,,,2017-12-20,2adaff8e437d7153f3326cf14187d821,6519,santana de parnaiba,SP,2,Voucher,1,136.13,1,73a6530caef9511c04711d12dcef551c,4e42581f08e8cfc7c090f930bac4552a,2017-12-05 23:15:15,129.0,47.61,13660,portoferreira,SP,moveis_escritorio,35.0,292.0,1.0,5000.0,60.0,45.0,45.0,office_furniture
3a129877493c8189c59c60eb71d97c29,0913cdce793684e52bbfac69d87e91fd,canceled,2018-01-25 13:34:24,2018-01-25 13:50:20,2018-01-26 21:42:18,,2018-02-23,11c3d6c93dea6ce86769a4835c171bd9,87013,maringa,PR,1,Credit Card,1,14.12,1,7e857e35018e4a05b7d124d1628dc1f0,3fd1e727ba94cfe122d165e176ce7967,2018-01-31 13:50:20,35.9,15.1,14802,araraquara,SP,esporte_lazer,14.0,1346.0,1.0,329.0,20.0,16.0,18.0,sports_leisure
